date,avg_valence,avg_energy,anxiety_percent,depression_percent
2020-04-25,0.4797272727272727,0.5902121212121212,30.8,23.5
2020-05-02,0.49343333333333333,0.5955666666666667,30.0,24.1
2020-05-09,0.45441935483870965,0.589483870967742,30.0,24.1
2020-05-16,0.48463999999999996,0.581,28.2,24.4
2020-05-23,0.47900000000000004,0.5659615384615384,29.4,24.9
2020-05-30,0.501625,0.5875833333333333,30.6,25.3
2020-06-06,0.5075217391304347,0.5918695652173913,31.1,25.8
2020-06-13,0.5115909090909091,0.5936818181818182,31.7,25.1
2020-06-20,0.5115909090909091,0.5936818181818182,31.2,25.6
2020-06-27,0.52165,0.5941,33.0,26.9
